task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
convnext_cifar100,constant_ild,dense,full,ce,False,3,2,-0.7127029052734377,0.052477389977013546,-0.8430639687341268,-0.5823418418127486,"[2000, 2001, 2002]","[-0.7404215736389164, -0.6521784553527832, -0.7455086868286136]"
convnext_cifar100,constant_ild,dense,full,accuracy,False,3,2,0.03283331791559855,0.0023860702788329447,0.026905990752855623,0.038760645078341475,"[2000, 2001, 2002]","[0.030099987983703613, 0.03389996290206909, 0.03450000286102295]"
convnext_cifar100,constant_ild,dense,full,excess_ce,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
convnext_cifar100,constant_ild,dense,full,accuracy_change,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
convnext_cifar100,constant_ild,dense,primary_two_thirds,ce,False,3,2,-5.5074027723948165,2.3488895013727737,-11.342367763693503,0.3275622189038696,"[2000, 2001, 2002]","[-6.781334254837036, -6.94410668258667, -2.796767379760742]"
convnext_cifar100,constant_ild,dense,primary_two_thirds,accuracy,False,3,2,0.3682333454489708,0.09370570940992375,0.1354554588893172,0.6010112320086244,"[2000, 2001, 2002]","[0.4107999950647354, 0.43310000747442245, 0.2608000338077545]"
convnext_cifar100,constant_ild,dense,primary_two_thirds,excess_ce,True,3,2,-4.794699867121379,2.379202452139283,-10.704966402576215,1.1155666683334582,"[2000, 2001, 2002]","[-6.040912681198121, -6.291928227233887, -2.0512586929321284]"
convnext_cifar100,constant_ild,dense,primary_two_thirds,accuracy_change,False,3,2,0.3354000275333722,0.09493508196762054,0.09956821024124618,0.5712318448254983,"[2000, 2001, 2002]","[0.3807000070810318, 0.39920004457235336, 0.22630003094673157]"
convnext_cifar100,constant_ild,dense,one_third,ce,False,3,2,-6.674681243896485,1.817931292023231,-11.190672923940397,-2.1586895638525725,"[2000, 2001, 2002]","[-8.529263543701173, -6.599016510009767, -4.895763677978516]"
convnext_cifar100,constant_ild,dense,one_third,accuracy,False,3,2,0.32463331893086433,0.008183115301370584,0.3043053336104173,0.3449613042513114,"[2000, 2001, 2002]","[0.33389998972415924, 0.32159997895359993, 0.31839998811483383]"
convnext_cifar100,constant_ild,dense,one_third,excess_ce,False,3,2,-5.961978338623047,1.8193407382693776,-10.48147127723982,-1.442485400006274,"[2000, 2001, 2002]","[-7.788841970062257, -5.9468380546569835, -4.150254991149902]"
convnext_cifar100,constant_ild,dense,one_third,accuracy_change,False,3,2,0.29180000101526576,0.01056456679515647,0.26555616223019407,0.31804383980033746,"[2000, 2001, 2002]","[0.3038000017404556, 0.28770001605153084, 0.2838999852538109]"
convnext_cifar100,constant_ild,dense,half,ce,False,3,2,-6.970958320744833,2.828021624071694,-13.996153486992537,0.05423684550286989,"[2000, 2001, 2002]","[-9.028352600097657, -8.138406187820436, -3.7461161743164064]"
