config,seed,retained,layers,keeps_first,is_prefix,is_odd_layers,is_even_layers,ce,accuracy,perplexity,full_ce,excess_ce,perplexity_ratio_vs_full
dense6,100,3,"3,4,6",False,False,False,False,5.320125758647919,0.05126953125,204.4095866498814,2.1207039952278137,3.199421763420105,24.518348691279858
dense6,100,3,"3,5,6",False,False,False,False,4.749636292457581,0.0577392578125,115.54225329512136,2.1207039952278137,2.628932297229767,13.858964744732084
dense6,100,3,"4,5,6",False,False,False,False,4.7105712890625,0.0657958984375,111.11562091558474,2.1207039952278137,2.5898672938346863,13.328002777691427
dense6,100,4,"1,2,3,4",True,True,False,False,2.165879547595978,0.36962890625,8.72227019583093,2.1207039952278137,0.04517555236816406,1.0462115086962076
dense6,100,4,"1,2,3,5",True,False,False,False,2.1553679406642914,0.372802734375,8.631065314707591,2.1207039952278137,0.03466394543647766,1.0352717425415068
dense6,100,4,"1,2,3,6",True,False,False,False,2.1472155153751373,0.3734130859375,8.560987240821714,2.1207039952278137,0.02651152014732361,1.0268660768420297
dense6,100,4,"1,2,4,5",True,False,False,False,2.147636651992798,0.3714599609375,8.564593345310175,2.1207039952278137,0.02693265676498413,1.0272986188216615
dense6,100,4,"1,2,4,6",True,False,False,False,2.140830844640732,0.371337890625,8.506502275494809,2.1207039952278137,0.02012684941291809,1.0203307601760578
dense6,100,4,"1,2,5,6",True,False,False,False,2.141464978456497,0.372314453125,8.511898246944746,2.1207039952278137,0.02076098322868347,1.020977991608331
dense6,100,4,"1,3,4,5",True,False,False,False,2.1708072423934937,0.3680419921875,8.76535695330613,2.1207039952278137,0.05010324716567993,1.051379642740542
dense6,100,4,"1,3,4,6",True,False,False,False,2.159386992454529,0.37109375,8.665823814530613,2.1207039952278137,0.03868299722671509,1.039440925761403
dense6,100,4,"1,3,5,6",True,False,False,False,2.1573874950408936,0.373291015625,8.648513833624559,2.1207039952278137,0.036683499813079834,1.037364642771697
dense6,100,4,"1,4,5,6",True,False,False,False,2.169323056936264,0.3642578125,8.752357187406686,2.1207039952278137,0.04861906170845032,1.04982035778502
dense6,100,4,"2,3,4,5",False,False,False,False,4.476639032363892,0.068115234375,87.93861659255283,2.1207039952278137,2.355935037136078,10.547987011675854
dense6,100,4,"2,3,4,6",False,False,False,False,5.034015476703644,0.044677734375,153.54834624727718,2.1207039952278137,2.91331148147583,18.417687526116325
dense6,100,4,"2,3,5,6",False,False,False,False,4.935959100723267,0.05224609375,139.2065916690201,2.1207039952278137,2.815255105495453,16.69743484444167
dense6,100,4,"2,4,5,6",False,False,False,False,4.7260549664497375,0.06298828125,112.84948802172323,2.1207039952278137,2.605350971221924,13.535975206917357
dense6,100,4,"3,4,5,6",False,False,False,False,4.8752129673957825,0.0555419921875,131.00204940552726,2.1207039952278137,2.7545089721679688,15.713323329098625
dense6,100,5,"1,2,3,4,5",True,True,False,False,2.1409981548786163,0.377197265625,8.507925619480778,2.1207039952278137,0.020294159650802612,1.0205014862399748
dense6,100,5,"1,2,3,4,6",True,False,False,False,2.1322749853134155,0.3740234375,8.434032302189484,2.1207039952278137,0.011570990085601807,1.011638192942452
dense6,100,5,"1,2,3,5,6",True,False,False,False,2.127029210329056,0.3782958984375,8.389905108377626,2.1207039952278137,0.006325215101242065,1.0063452615179587
dense6,100,5,"1,2,4,5,6",True,False,False,False,2.1233809888362885,0.3741455078125,8.359352641209203,2.1207039952278137,0.0026769936084747314,1.0026805799553598
dense6,100,5,"1,3,4,5,6",True,False,False,False,2.1433085501194,0.37890625,8.527605015178118,2.1207039952278137,0.022604554891586304,1.0228619737965958
dense6,100,5,"2,3,4,5,6",False,False,False,False,4.635114014148712,0.0584716796875,103.03966530526016,2.1207039952278137,2.5144100189208984,12.359314865766867
dense6,100,6,"1,2,3,4,5,6",True,True,False,False,2.1207039952278137,0.380859375,8.337004633700364,2.1207039952278137,0.0,1.0
constant_ild,100,1,1,True,True,False,False,2.1647814512252808,0.37060546875,8.712697559385223,2.1137168407440186,0.05106461048126221,1.052390886568298
constant_ild,100,1,2,False,False,False,False,4.542751729488373,0.09228515625,93.94896689661522,2.1137168407440186,2.4290348887443542,11.347924783410136
constant_ild,100,1,3,False,False,False,False,4.728583335876465,0.086669921875,113.13517422499918,2.1137168407440186,2.6148664951324463,13.665391859775161
constant_ild,100,1,4,False,False,False,False,4.675042986869812,0.0753173828125,107.23717678352308,2.1137168407440186,2.5613261461257935,12.952983479465153
constant_ild,100,1,5,False,False,False,False,4.4178725481033325,0.0902099609375,82.91968992420445,2.1137168407440186,2.304155707359314,10.015718484260038
constant_ild,100,1,6,False,False,False,False,4.649016559123993,0.0634765625,104.48218298570184,2.1137168407440186,2.5352997183799744,12.620212790982327
constant_ild,100,2,"1,2",True,True,False,False,2.1348156929016113,0.380615234375,8.45548795678927,2.1137168407440186,0.021098852157592773,1.0213230066304415
constant_ild,100,2,"1,3",True,False,False,False,2.138108104467392,0.37841796875,8.483372782103983,2.1137168407440186,0.024391263723373413,1.0246911639473615
constant_ild,100,2,"1,4",True,False,False,False,2.145709455013275,0.37548828125,8.548103581499461,2.1137168407440186,0.03199261426925659,1.0325098794369978
constant_ild,100,2,"1,5",True,False,False,False,2.1499613523483276,0.3753662109375,8.584526618972168,2.1137168407440186,0.03624451160430908,1.0369093518663057
constant_ild,100,2,"1,6",True,False,False,False,2.1541201174259186,0.375732421875,8.62030198759743,2.1137168407440186,0.040403276681900024,1.0412305935538801
constant_ild,100,2,"2,3",False,False,False,False,4.495367765426636,0.0970458984375,89.60111511887834,2.1137168407440186,2.381650924682617,10.82275567753302
constant_ild,100,2,"2,4",False,False,False,False,4.469822406768799,0.087890625,87.34121042823975,2.1137168407440186,2.3561055660247803,10.549785901555989
constant_ild,100,2,"2,5",False,False,False,False,4.370005488395691,0.0904541015625,79.04406552348256,2.1137168407440186,2.2562886476516724,9.547588864095736
constant_ild,100,2,"2,6",False,False,False,False,4.214090526103973,0.1153564453125,67.63262778204341,2.1137168407440186,2.100373685359955,8.169222060946947
constant_ild,100,2,"3,4",False,False,False,False,4.32286936044693,0.0980224609375,75.40468138697113,2.1137168407440186,2.2091525197029114,9.107994275636715
constant_ild,100,2,"3,5",False,False,False,False,4.691605865955353,0.0853271484375,109.0281238537491,2.1137168407440186,2.5778890252113342,13.169308717680474
constant_ild,100,2,"3,6",False,False,False,False,4.467000782489777,0.0892333984375,87.09511370785305,2.1137168407440186,2.353283941745758,10.520060326441733
constant_ild,100,2,"4,5",False,False,False,False,4.589198648929596,0.0860595703125,98.41553316122727,2.1137168407440186,2.4754818081855774,11.8874331961712
constant_ild,100,2,"4,6",False,False,False,False,4.487156569957733,0.0870361328125,88.86839521845658,2.1137168407440186,2.3734397292137146,10.734251773850461
constant_ild,100,2,"5,6",False,False,False,False,4.504848003387451,0.0897216796875,90.45459421202158,2.1137168407440186,2.3911311626434326,10.925845864398624
constant_ild,100,3,"1,2,3",True,True,False,False,2.1219160556793213,0.3841552734375,8.34711571368315,2.1137168407440186,0.008199214935302734,1.008232920554977
constant_ild,100,3,"1,2,4",True,False,False,False,2.1249740421772003,0.382080078125,8.37268014875879,2.1137168407440186,0.011257201433181763,1.0113208021565696
constant_ild,100,3,"1,2,5",True,False,False,False,2.126638352870941,0.3828125,8.386626492170679,2.1137168407440186,0.012921512126922607,1.0130053556037184
constant_ild,100,3,"1,2,6",True,False,False,False,2.1284564435482025,0.381103515625,8.401888008816483,2.1137168407440186,0.01473960280418396,1.014848766433003
constant_ild,100,3,"1,3,4",True,False,False,False,2.130294054746628,0.381103515625,8.417341606813105,2.1137168407440186,0.016577214002609253,1.016715378419186
constant_ild,100,3,"1,3,5",True,False,True,False,2.1292660236358643,0.3814697265625,8.40869276417274,2.1137168407440186,0.015549182891845703,1.0156707004521102
constant_ild,100,3,"1,3,6",True,False,False,False,2.132710874080658,0.38134765625,8.437709403477921,2.1137168407440186,0.018994033336639404,1.0191755675217493
constant_ild,100,3,"1,4,5",True,False,False,False,2.136570304632187,0.378662109375,8.470337078557995,2.1137168407440186,0.022853463888168335,1.0231166050328235
constant_ild,100,3,"1,4,6",True,False,False,False,2.139720618724823,0.3797607421875,8.497063376839304,2.1137168407440186,0.026003777980804443,1.0263448259771688
constant_ild,100,3,"1,5,6",True,False,False,False,2.142321765422821,0.379638671875,8.519194255537615,2.1137168407440186,0.02860492467880249,1.0290179745508574
constant_ild,100,3,"2,3,4",False,False,False,False,4.590218901634216,0.0946044921875,98.51599311366657,2.1137168407440186,2.4765020608901978,11.899567571052412
constant_ild,100,3,"2,3,5",False,False,False,False,4.523036062717438,0.091064453125,92.11484029741209,2.1137168407440186,2.409319221973419,11.126383968449254
constant_ild,100,3,"2,3,6",False,False,False,False,4.494954168796539,0.092041015625,89.56406406223655,2.1137168407440186,2.3812373280525208,10.818280347810878
constant_ild,100,3,"2,4,5",False,False,False,False,4.522869884967804,0.083984375,92.09953413235084,2.1137168407440186,2.4091530442237854,11.1245351646191
constant_ild,100,3,"2,4,6",False,False,False,True,4.413325607776642,0.08935546875,82.54351491298313,2.1137168407440186,2.2996087670326233,9.970280989056544
constant_ild,100,3,"2,5,6",False,False,False,False,4.387014806270599,0.0865478515625,80.40005065890452,2.1137168407440186,2.273297965526581,9.711375841563234
constant_ild,100,3,"3,4,5",False,False,False,False,4.381421864032745,0.09619140625,79.95163297566144,2.1137168407440186,2.267705023288727,9.65721228544246
constant_ild,100,3,"3,4,6",False,False,False,False,4.303593337535858,0.0947265625,73.9650983137264,2.1137168407440186,2.1898764967918396,8.934109655355273
constant_ild,100,3,"3,5,6",False,False,False,False,4.481976091861725,0.0819091796875,88.40920488329056,2.1137168407440186,2.3682592511177063,10.678787008703367
constant_ild,100,3,"4,5,6",False,False,False,False,4.662979900836945,0.082275390625,105.95133668662523,2.1137168407440186,2.549263060092926,12.797669193581129
constant_ild,100,4,"1,2,3,4",True,True,False,False,2.1171773076057434,0.385009765625,8.307654407613414,2.1137168407440186,0.0034604668617248535,1.003466461189572
constant_ild,100,4,"1,2,3,5",True,False,False,False,2.1167446076869965,0.3848876953125,8.304060463831929,2.1137168407440186,0.0030277669429779053,1.0030323552589235
constant_ild,100,4,"1,2,3,6",True,False,False,False,2.118335008621216,0.3841552734375,8.317277756963135,2.1137168407440186,0.004618167877197266,1.0046288480490813
constant_ild,100,4,"1,2,4,5",True,False,False,False,2.1197794675827026,0.3829345703125,8.329300404374353,2.1137168407440186,0.006062626838684082,1.0060810417562254
constant_ild,100,4,"1,2,4,6",True,False,False,False,2.1211077272892,0.3826904296875,8.340371229322479,2.1137168407440186,0.007390886545181274,1.007418266559771
constant_ild,100,4,"1,2,5,6",True,False,False,False,2.1222150027751923,0.382568359375,8.349611432710045,2.1137168407440186,0.008498162031173706,1.0085343739155965
constant_ild,100,4,"1,3,4,5",True,False,False,False,2.124457210302353,0.384033203125,8.368353998822398,2.1137168407440186,0.01074036955833435,1.010798254376625
constant_ild,100,4,"1,3,4,6",True,False,False,False,2.1272392570972443,0.3828125,8.391667565923823,2.1137168407440186,0.013522416353225708,1.013614257730777
constant_ild,100,4,"1,3,5,6",True,False,False,False,2.125813812017441,0.383056640625,8.37971422611933,2.1137168407440186,0.012096971273422241,1.0121704355633527
constant_ild,100,4,"1,4,5,6",True,False,False,False,2.1325977742671967,0.382080078125,8.43675515408208,2.1137168407440186,0.0188809335231781,1.0190603054733594
constant_ild,100,4,"2,3,4,5",False,False,False,False,4.65991085767746,0.0931396484375,105.62666593065036,2.1137168407440186,2.546194016933441,12.758452803663504
constant_ild,100,4,"2,3,4,6",False,False,False,False,4.584614396095276,0.0904541015625,97.96540401560004,2.1137168407440186,2.4708975553512573,11.83306291562283
constant_ild,100,4,"2,3,5,6",False,False,False,False,4.5708558559417725,0.0865478515625,96.62677299169455,2.1137168407440186,2.457139015197754,11.67137210971184
constant_ild,100,4,"2,4,5,6",False,False,False,False,4.5439698696136475,0.0791015625,94.06347963504072,2.1137168407440186,2.430253028869629,11.36175656874339
constant_ild,100,4,"3,4,5,6",False,False,False,False,4.3831546902656555,0.090087890625,80.09029536686351,2.1137168407440186,2.269437849521637,9.673961063397417
constant_ild,100,5,"1,2,3,4,5",True,True,False,False,2.1141535937786102,0.385498046875,8.282572377660552,2.1137168407440186,0.0004367530345916748,1.0004368484250852
constant_ild,100,5,"1,2,3,4,6",True,False,False,False,2.1152850091457367,0.3858642578125,8.291948710591335,2.1137168407440186,0.0015681684017181396,1.0015693986207657
constant_ild,100,5,"1,2,3,5,6",True,False,False,False,2.1148860156536102,0.3870849609375,8.288640936952723,2.1137168407440186,0.0011691749095916748,1.0011698586610254
constant_ild,100,5,"1,2,4,5,6",True,False,False,False,2.11750528216362,0.3846435546875,8.310379553759617,2.1137168407440186,0.0037884414196014404,1.0037956266345196
constant_ild,100,5,"1,3,4,5,6",True,False,False,False,2.123000591993332,0.385009765625,8.356173374585156,2.1137168407440186,0.009283751249313354,1.009326978936084
constant_ild,100,5,"2,3,4,5,6",False,False,False,False,4.699413478374481,0.0867919921875,109.88270496545132,2.1137168407440186,2.5856966376304626,13.27253201536284
constant_ild,100,6,"1,2,3,4,5,6",True,True,False,False,2.1137168407440186,0.384521484375,8.278955728889036,2.1137168407440186,0.0,1.0
decreasing_ild,100,1,1,True,True,False,False,2.1989813148975372,0.3609619140625,9.015824533758574,2.1234680116176605,0.07551330327987671,1.0784375743795038
decreasing_ild,100,1,2,False,False,False,False,5.526653587818146,0.066650390625,251.301543808141,2.1234680116176605,3.4031855762004852,30.059705169228113
decreasing_ild,100,1,3,False,False,False,False,5.371797561645508,0.0863037109375,215.24944429790028,2.1234680116176605,3.2483295500278473,25.747294407291513
decreasing_ild,100,1,4,False,False,False,False,5.300201416015625,0.0606689453125,200.37716508078574,2.1234680116176605,3.1767334043979645,23.968330690290983
decreasing_ild,100,1,5,False,False,False,False,5.476001441478729,0.037841796875,238.8895811166103,2.1234680116176605,3.3525334298610687,28.575034866670325
decreasing_ild,100,1,6,False,False,False,False,5.008219420909882,0.0821533203125,149.63805640299796,2.1234680116176605,2.884751409292221,17.899117488130326
decreasing_ild,100,2,"1,2",True,True,False,False,2.154096484184265,0.371337890625,8.62009826432476,2.1234680116176605,0.030628472566604614,1.0311023499051941
decreasing_ild,100,2,"1,3",True,False,False,False,2.1624878346920013,0.368408203125,8.692736872045362,2.1234680116176605,0.03901982307434082,1.039791095302045
decreasing_ild,100,2,"1,4",True,False,False,False,2.173542946577072,0.36865234375,8.78936920722981,2.1234680116176605,0.05007493495941162,1.0513498762846094
decreasing_ild,100,2,"1,5",True,False,False,False,2.178181678056717,0.365234375,8.830235441321515,2.1234680116176605,0.054713666439056396,1.0562381349461283
decreasing_ild,100,2,"1,6",True,False,False,False,2.185391992330551,0.3614501953125,8.894134302566759,2.1234680116176605,0.061923980712890625,1.0638814661432814
decreasing_ild,100,2,"2,3",False,False,False,False,5.320600748062134,0.06494140625,204.5067021022842,2.1234680116176605,3.1971327364444733,24.46228971446008
decreasing_ild,100,2,"2,4",False,False,False,False,5.290559232234955,0.0823974609375,198.45437646727393,2.1234680116176605,3.1670912206172943,23.738334256727324
decreasing_ild,100,2,"2,5",False,False,False,False,5.123560428619385,0.077880859375,167.93221714614094,2.1234680116176605,3.0000924170017242,20.087393254065077
decreasing_ild,100,2,"2,6",False,False,False,False,5.692087113857269,0.0604248046875,296.51182922784295,2.1234680116176605,3.5686191022396088,35.46758221502312
decreasing_ild,100,2,"3,4",False,False,False,False,4.634989023208618,0.113525390625,103.02678708547386,2.1234680116176605,2.5115210115909576,12.323660242559384
decreasing_ild,100,2,"3,5",False,False,False,False,4.996562480926514,0.08251953125,147.90386189834263,2.1234680116176605,2.873094469308853,17.6916799422797
decreasing_ild,100,2,"3,6",False,False,False,False,5.15405410528183,0.0810546875,173.13196467148944,2.1234680116176605,3.0305860936641693,20.709366661780113
decreasing_ild,100,2,"4,5",False,False,False,False,4.94485342502594,0.0657958984375,140.45026284900624,2.1234680116176605,2.8213854134082794,16.800109653942165
decreasing_ild,100,2,"4,6",False,False,False,False,5.010283827781677,0.0611572265625,149.9472893163707,2.1234680116176605,2.8868158161640167,17.93610671654391
decreasing_ild,100,2,"5,6",False,False,False,False,5.053397059440613,0.052978515625,156.55338334321613,2.1234680116176605,2.9299290478229523,18.72630177765654
