config,seed,lr,steps,tokens,parameters,train_seconds,validation_ce,active_sequence_blocks,dense_sequence_blocks,nominal_mean_dropout,clipped_steps,max_preclip_grad_norm
dense6,10,0.001,800,819200,312448,13.359914791071787,2.2847681045532227,76800,76800,0.0,573,4.042139530181885
dense6,11,0.001,800,819200,312448,13.367121874820441,2.2805426120758057,76800,76800,0.0,595,4.767122745513916
dense6,10,0.003,800,819200,312448,13.396265915827826,2.1225189566612244,76800,76800,0.0,229,4.042139530181885
dense6,11,0.003,800,819200,312448,13.386874416144565,2.1125807762145996,76800,76800,0.0,449,4.413889408111572
dense6,10,0.01,800,819200,312448,13.668072917032987,2.0712661743164062,76800,76800,0.0,19,4.635988712310791
dense6,11,0.01,800,819200,312448,13.651459458982572,2.0464715659618378,76800,76800,0.0,17,13.33359146118164
dense6,10,0.02,800,819200,312448,13.996939750155434,2.5372426509857178,76800,76800,0.0,13,21.085500717163086
dense6,11,0.02,800,819200,312448,13.90176812489517,2.650265157222748,76800,76800,0.0,27,13.857769012451172
dense6,10,0.03,800,819200,312448,14.347751583904028,2.6825984716415405,76800,76800,0.0,45,10.892402648925781
dense6,11,0.03,800,819200,312448,14.454027874860913,2.59667044878006,76800,76800,0.0,15,20.97410774230957
constant_ild,10,0.001,800,819200,312448,13.901258375030011,2.31736159324646,61601,76800,0.20000000298023224,598,3.8013553619384766
constant_ild,11,0.001,800,819200,312448,13.894791124854237,2.3106828927993774,61485,76800,0.20000000298023224,635,4.7168779373168945
constant_ild,10,0.003,800,819200,312448,14.59610225004144,2.162195861339569,61601,76800,0.20000000298023224,374,3.76200795173645
constant_ild,11,0.003,800,819200,312448,14.581655249930918,2.1267436146736145,61485,76800,0.20000000298023224,516,4.3058552742004395
constant_ild,10,0.01,800,819200,312448,14.621949749998748,2.0869187116622925,61601,76800,0.20000000298023224,50,3.76200795173645
constant_ild,11,0.01,800,819200,312448,14.605663415975869,2.0485328435897827,61485,76800,0.20000000298023224,14,4.155062675476074
constant_ild,10,0.02,800,819200,312448,14.856810958124697,2.094462275505066,61601,76800,0.20000000298023224,16,22.92766761779785
constant_ild,11,0.02,800,819200,312448,14.879149083979428,2.5058359503746033,61485,76800,0.20000000298023224,15,27.844837188720703
constant_ild,10,0.03,800,819200,312448,15.085865250090137,2.611550986766815,61601,76800,0.20000000298023224,18,20.48123550415039
constant_ild,11,0.03,800,819200,312448,15.140692875022069,2.601530969142914,61485,76800,0.20000000298023224,19,13.21353530883789
decreasing_ild,10,0.001,800,819200,312448,13.886103875003755,2.3284904956817627,61531,76800,0.20000000298023224,588,3.896820068359375
decreasing_ild,11,0.001,800,819200,312448,13.911188707919791,2.294954001903534,61468,76800,0.20000000298023224,646,4.289896488189697
decreasing_ild,10,0.003,800,819200,312448,13.900680292164907,2.158453345298767,61531,76800,0.20000000298023224,409,3.7885451316833496
decreasing_ild,11,0.003,800,819200,312448,13.844063624972478,2.126313805580139,61468,76800,0.20000000298023224,562,4.487534046173096
decreasing_ild,10,0.01,800,819200,312448,13.832371790893376,2.0731115341186523,61531,76800,0.20000000298023224,40,3.7885451316833496
decreasing_ild,11,0.01,800,819200,312448,13.808446791954339,2.076896905899048,61468,76800,0.20000000298023224,26,5.428601264953613
decreasing_ild,10,0.02,800,819200,312448,14.140136166941375,2.50783509016037,61531,76800,0.20000000298023224,12,4.667117118835449
