treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
dense6,2703,2,all_masks,15,0.3993502795696259,0.8901851852734883,0.3124368578195572,-0.09592591921488444
dense6,2703,2,keeps_first,5,0.3472318172454834,0.9138888716697693,0.26031839549541474,-0.07222223281860352
dense6,2703,2,drops_first,10,0.4254095107316971,0.8783333420753479,0.3384960889816284,-0.1077777624130249
dense6,2703,3,prefix,1,0.1400068998336792,0.9777777791023254,0.053093478083610535,-0.008333325386047363
dense6,2703,3,all_masks,20,0.24055828750133515,0.9351388931274414,0.15364486575126649,-0.0509722113609314
dense6,2703,3,keeps_first,10,0.19425738453865052,0.9513888955116272,0.10734396278858185,-0.034722208976745605
dense6,2703,3,drops_first,10,0.28685919046401975,0.9188888907432556,0.19994576871395112,-0.06722221374511719
dense6,2703,3,alternating,2,0.2204028144478798,0.9458333551883698,0.13348939269781113,-0.04027774930000305
dense6,2703,4,prefix,1,0.09318855404853821,0.980555534362793,0.0062751322984695435,-0.005555570125579834
dense6,2703,4,all_masks,15,0.1632859691977501,0.9585185170173645,0.07637254744768143,-0.0275925874710083
dense6,2703,4,keeps_first,10,0.13754153922200202,0.965833330154419,0.05062811747193337,-0.020277774333953856
dense6,2703,4,drops_first,5,0.21477482914924623,0.9438888907432557,0.12786140739917756,-0.042222213745117185
dense6,2703,5,prefix,1,0.0923832356929779,0.980555534362793,0.005469813942909241,-0.005555570125579834
dense6,2703,5,all_masks,6,0.11609447871645291,0.9736111064751943,0.02918105696638425,-0.012499998013178507
dense6,2703,5,keeps_first,5,0.10542377680540085,0.9766666650772095,0.018510355055332182,-0.00944443941116333
dense6,2703,5,drops_first,1,0.16944798827171326,0.9583333134651184,0.08253456652164459,-0.027777791023254395
dense6,2703,6,prefix,1,0.08691342175006866,0.9861111044883728,0.0,0.0
dense6,2703,6,all_masks,1,0.08691342175006866,0.9861111044883728,0.0,0.0
dense6,2703,6,keeps_first,1,0.08691342175006866,0.9861111044883728,0.0,0.0
dense6,2704,1,prefix,1,0.5526476502418518,0.8666666746139526,0.48389672487974167,-0.11944442987442017
dense6,2704,1,all_masks,6,0.556585376461347,0.8601851960023245,0.4878344510992368,-0.12592590848604837
dense6,2704,1,keeps_first,1,0.5526476502418518,0.8666666746139526,0.48389672487974167,-0.11944442987442017
dense6,2704,1,drops_first,5,0.557372921705246,0.8588889002799988,0.48862199634313586,-0.12722220420837402
dense6,2704,2,prefix,1,0.2581988275051117,0.949999988079071,0.18944790214300156,-0.03611111640930176
dense6,2704,2,all_masks,15,0.3305492132902145,0.9088888843854268,0.2617982879281044,-0.07722222010294597
dense6,2704,2,keeps_first,5,0.26728338897228243,0.9338888883590698,0.19853246361017227,-0.05222221612930298
dense6,2704,2,drops_first,10,0.3621821254491806,0.8963888823986054,0.29343120008707047,-0.08972222208976746
dense6,2704,3,prefix,1,0.12131833285093307,0.9722222089767456,0.05256740748882294,-0.013888895511627197
dense6,2704,3,all_masks,20,0.21783367171883583,0.939305555820465,0.1490827463567257,-0.04680554866790772
dense6,2704,3,keeps_first,10,0.1564021646976471,0.9575000047683716,0.08765123933553695,-0.02861109972000122
dense6,2704,3,drops_first,10,0.27926517874002454,0.9211111068725586,0.21051425337791443,-0.06499999761581421
dense6,2704,3,alternating,2,0.21184109151363373,0.9402777850627899,0.1430901661515236,-0.045833319425582886
dense6,2704,4,prefix,1,0.0753251239657402,0.9833333492279053,0.006574198603630066,-0.0027777552604675293
dense6,2704,4,all_masks,15,0.1465277036031087,0.9609259327252706,0.07777677824099859,-0.025185171763102213
dense6,2704,4,keeps_first,10,0.10493575185537338,0.9736111164093018,0.036184826493263246,-0.012499988079071045
dense6,2704,4,drops_first,5,0.2297116070985794,0.9355555653572083,0.16096068173646927,-0.05055553913116455
dense6,2704,5,prefix,1,0.06823216378688812,0.9861111044883728,-0.0005187615752220154,0.0
dense6,2704,5,all_masks,6,0.10265616203347842,0.97731480995814,0.03390523667136828,-0.008796294530232748
dense6,2704,5,keeps_first,5,0.08076859563589096,0.9833333253860473,0.012017670273780822,-0.0027777791023254395
dense6,2704,5,drops_first,1,0.2120939940214157,0.9472222328186035,0.14334306865930557,-0.03888887166976929
dense6,2704,6,prefix,1,0.06875092536211014,0.9861111044883728,0.0,0.0
dense6,2704,6,all_masks,1,0.06875092536211014,0.9861111044883728,0.0,0.0
dense6,2704,6,keeps_first,1,0.06875092536211014,0.9861111044883728,0.0,0.0
dense6,2705,1,prefix,1,0.747029185295105,0.8388888835906982,0.6779754012823105,-0.14444446563720703
dense6,2705,1,all_masks,6,0.7750984330972036,0.7907407383124033,0.7060446490844091,-0.19259261091550192
dense6,2705,1,keeps_first,1,0.747029185295105,0.8388888835906982,0.6779754012823105,-0.14444446563720703
dense6,2705,1,drops_first,5,0.7807122826576233,0.7811111092567444,0.7116584986448288,-0.2022222399711609
dense6,2705,2,prefix,1,0.34415411949157715,0.9416666626930237,0.27510033547878265,-0.04166668653488159
dense6,2705,2,all_masks,15,0.41070067286491396,0.88629629611969,0.34164688885211947,-0.09703705310821534
dense6,2705,2,keeps_first,5,0.3054232120513916,0.9333333253860474,0.23636942803859712,-0.05000002384185791
dense6,2705,2,drops_first,10,0.4633394032716751,0.8627777814865112,0.3942856192588806,-0.12055556774139405
dense6,2705,3,prefix,1,0.12764433026313782,0.9694444537162781,0.05859054625034332,-0.013888895511627197
dense6,2705,3,all_masks,20,0.25722997859120367,0.9251388937234879,0.1881761945784092,-0.05819445550441742
dense6,2705,3,keeps_first,10,0.16015028655529023,0.9547222256660461,0.09109650254249572,-0.02861112356185913
dense6,2705,3,drops_first,10,0.35430967062711716,0.8955555617809295,0.28525588661432266,-0.0877777874469757
dense6,2705,3,alternating,2,0.1987215206027031,0.9388889074325562,0.1296677365899086,-0.04444444179534912
dense6,2705,4,prefix,1,0.0797882229089737,0.9777777791023254,0.0107344388961792,-0.005555570125579834
dense6,2705,4,all_masks,15,0.16910255750020345,0.9527777791023254,0.10004877348740895,-0.030555570125579835
dense6,2705,4,keeps_first,10,0.10706541240215302,0.9705555498600006,0.03801162838935852,-0.012777799367904663
dense6,2705,4,drops_first,5,0.2931768476963043,0.9172222375869751,0.22412306368350982,-0.06611111164093017
dense6,2705,5,prefix,1,0.07191161811351776,0.9833333492279053,0.0028578341007232666,0.0
dense6,2705,5,all_masks,6,0.1099643421669801,0.9731481571992239,0.040910558154185615,-0.010185192028681437
dense6,2705,5,keeps_first,5,0.08265193551778793,0.9811111211776733,0.013598151504993439,-0.0022222280502319338
dense6,2705,5,drops_first,1,0.24652637541294098,0.9333333373069763,0.17747259140014648,-0.050000011920928955
dense6,2705,6,prefix,1,0.0690537840127945,0.9833333492279053,0.0,0.0
dense6,2705,6,all_masks,1,0.0690537840127945,0.9833333492279053,0.0,0.0
