treatment,seed,lr,model_depth,retained_depth,mask,is_prefix,keeps_first,is_alternating,ce,accuracy,excess_ce,accuracy_change,full_ce,full_accuracy
dense6,2701,0.001,6,1,100000,True,True,False,0.836114764213562,0.800000011920929,0.7552196681499481,-0.180555522441864,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,1,010000,False,False,False,0.7374296188354492,0.8194444179534912,0.6565345227718353,-0.16111111640930176,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,1,001000,False,False,False,0.9422066807746887,0.6861110925674438,0.8613115847110748,-0.2944444417953491,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,1,000100,False,False,False,0.6751140356063843,0.8027777671813965,0.5942189395427704,-0.17777776718139648,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,1,000010,False,False,False,0.8163403272628784,0.7388888597488403,0.7354452311992645,-0.24166667461395264,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,1,000001,False,False,False,0.8815221190452576,0.7083333134651184,0.8006270229816437,-0.27222222089767456,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,110000,True,True,False,0.3525632917881012,0.9333333373069763,0.2716681957244873,-0.04722219705581665,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,101000,False,True,False,0.3695395588874817,0.9027777910232544,0.2886444628238678,-0.07777774333953857,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,100100,False,True,False,0.28450828790664673,0.9388889074325562,0.20361319184303284,-0.041666626930236816,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,100010,False,True,False,0.3015429675579071,0.9083333611488342,0.2206478714942932,-0.07222217321395874,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,100001,False,True,False,0.32399383187294006,0.9083333611488342,0.24309873580932617,-0.07222217321395874,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,011000,False,False,False,0.3812137544155121,0.9083333611488342,0.3003186583518982,-0.07222217321395874,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,010100,False,False,False,0.3261929452419281,0.9083333611488342,0.2452978491783142,-0.07222217321395874,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,010010,False,False,False,0.34605762362480164,0.894444465637207,0.26516252756118774,-0.08611106872558594,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,010001,False,False,False,0.3057800233364105,0.9166666865348816,0.22488492727279663,-0.06388884782791138,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,001100,False,False,False,0.4863082468509674,0.8277778029441833,0.4054131507873535,-0.15277773141860962,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,001010,False,False,False,0.5593637824058533,0.8138889074325562,0.4784686863422394,-0.16666662693023682,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,001001,False,False,False,0.6694748997688293,0.7777777910232544,0.5885798037052155,-0.20277774333953857,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,000110,False,False,False,0.4514625668525696,0.8694444298744202,0.3705674707889557,-0.1111111044883728,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,000101,False,False,False,0.4312828779220581,0.8833333253860474,0.3503877818584442,-0.0972222089767456,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,2,000011,False,False,False,0.6260973811149597,0.7805555462837219,0.5452022850513458,-0.19999998807907104,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,111000,True,True,False,0.1488647609949112,0.9666666388511658,0.0679696649312973,-0.013888895511627197,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,110100,False,True,False,0.15603551268577576,0.9694444537162781,0.07514041662216187,-0.011111080646514893,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,110010,False,True,False,0.13521543145179749,0.9666666388511658,0.054320335388183594,-0.013888895511627197,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,110001,False,True,False,0.12692990899085999,0.9666666388511658,0.046034812927246094,-0.013888895511627197,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,101100,False,True,False,0.1471533626317978,0.9638888835906982,0.0662582665681839,-0.016666650772094727,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,101010,False,True,True,0.14703617990016937,0.9611111283302307,0.06614108383655548,-0.019444406032562256,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,101001,False,True,False,0.20060710608959198,0.9305555820465088,0.11971201002597809,-0.04999995231628418,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,100110,False,True,False,0.1565762460231781,0.9555555582046509,0.07568114995956421,-0.02499997615814209,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,100101,False,True,False,0.1454440802335739,0.9611111283302307,0.06454898416996002,-0.019444406032562256,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,100011,False,True,False,0.20157001912593842,0.9361110925674438,0.12067492306232452,-0.04444444179534912,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,011100,False,False,False,0.22170153260231018,0.9388889074325562,0.1408064365386963,-0.041666626930236816,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,011010,False,False,False,0.2471284419298172,0.9194444417953491,0.1662333458662033,-0.06111109256744385,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,011001,False,False,False,0.21417413651943207,0.9444444179534912,0.13327904045581818,-0.03611111640930176,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,010110,False,False,False,0.26353931427001953,0.9305555820465088,0.18264421820640564,-0.04999995231628418,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,010101,False,False,True,0.2391812652349472,0.9388889074325562,0.1582861691713333,-0.041666626930236816,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,010011,False,False,False,0.24821799993515015,0.9361110925674438,0.16732290387153625,-0.04444444179534912,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,001110,False,False,False,0.42474091053009033,0.8583333492279053,0.34384581446647644,-0.1222221851348877,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,001101,False,False,False,0.4230248034000397,0.8638888597488403,0.3421297073364258,-0.11666667461395264,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,001011,False,False,False,0.5370611548423767,0.8166666626930237,0.4561660587787628,-0.1638888716697693,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,3,000111,False,False,False,0.41958218812942505,0.8888888955116272,0.33868709206581116,-0.09166663885116577,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,111100,True,True,False,0.09008365124464035,0.9833333492279053,0.009188555181026459,0.0027778148651123047,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,111010,False,True,False,0.08122703433036804,0.9750000238418579,0.0003319382667541504,-0.005555510520935059,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,111001,False,True,False,0.08472749590873718,0.9777777791023254,0.003832399845123291,-0.0027777552604675293,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,110110,False,True,False,0.10687100142240524,0.9722222089767456,0.02597590535879135,-0.008333325386047363,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,110101,False,True,False,0.09924836456775665,0.9750000238418579,0.01835326850414276,-0.005555510520935059,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,110011,False,True,False,0.09844757616519928,0.9722222089767456,0.017552480101585388,-0.008333325386047363,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,101110,False,True,False,0.1001141145825386,0.9694444537162781,0.019219018518924713,-0.011111080646514893,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,101101,False,True,False,0.10647746175527573,0.9694444537162781,0.025582365691661835,-0.011111080646514893,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,101011,False,True,False,0.1238502487540245,0.9611111283302307,0.042955152690410614,-0.019444406032562256,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,100111,False,True,False,0.1356033831834793,0.9611111283302307,0.05470828711986542,-0.019444406032562256,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,011110,False,False,False,0.21541017293930054,0.9361110925674438,0.13451507687568665,-0.04444444179534912,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,011101,False,False,False,0.20321935415267944,0.9472222328186035,0.12232425808906555,-0.03333330154418945,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,011011,False,False,False,0.23365668952465057,0.9388889074325562,0.15276159346103668,-0.041666626930236816,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,010111,False,False,False,0.25524425506591797,0.9416666626930237,0.17434915900230408,-0.03888887166976929,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,4,001111,False,False,False,0.46150025725364685,0.8583333492279053,0.38060516119003296,-0.1222221851348877,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,111110,True,True,False,0.07687127590179443,0.980555534362793,-0.004023820161819458,0.0,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,111101,False,True,False,0.07454708218574524,0.9861111044883728,-0.006348013877868652,0.005555570125579834,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,111011,False,True,False,0.0801234319806099,0.9777777791023254,-0.0007716640830039978,-0.0027777552604675293,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,110111,False,True,False,0.09789443761110306,0.9777777791023254,0.016999341547489166,-0.0027777552604675293,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,101111,False,True,False,0.09980600327253342,0.9750000238418579,0.018910907208919525,-0.005555510520935059,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,5,011111,False,False,False,0.23645401000976562,0.9416666626930237,0.15555891394615173,-0.03888887166976929,0.08089509606361389,0.980555534362793
dense6,2701,0.001,6,6,111111,True,True,False,0.08089509606361389,0.980555534362793,0.0,0.0,0.08089509606361389,0.980555534362793
constant_ild,2701,0.001,6,1,100000,True,True,False,0.3134046494960785,0.9388889074325562,0.2260333150625229,-0.041666626930236816,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,1,010000,False,False,False,0.4172951579093933,0.8833333253860474,0.3299238234758377,-0.0972222089767456,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,1,001000,False,False,False,0.48111140727996826,0.8222222328186035,0.39374007284641266,-0.15833330154418945,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,1,000100,False,False,False,0.4462350308895111,0.8694444298744202,0.3588636964559555,-0.1111111044883728,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,1,000010,False,False,False,0.612433135509491,0.7805555462837219,0.5250618010759354,-0.19999998807907104,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,1,000001,False,False,False,0.6384837031364441,0.7888888716697693,0.5511123687028885,-0.19166666269302368,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,110000,True,True,False,0.10084288567304611,0.9861111044883728,0.013471551239490509,0.005555570125579834,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,101000,False,True,False,0.09781995415687561,0.9750000238418579,0.010448619723320007,-0.005555510520935059,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,100100,False,True,False,0.10437740385532379,0.9777777791023254,0.01700606942176819,-0.0027777552604675293,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,100010,False,True,False,0.11882440000772476,0.9694444537162781,0.03145306557416916,-0.011111080646514893,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,100001,False,True,False,0.11456891149282455,0.9750000238418579,0.02719757705926895,-0.005555510520935059,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,011000,False,False,False,0.2728904187679291,0.925000011920929,0.18551908433437347,-0.055555522441864014,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,010100,False,False,False,0.2512393295764923,0.9222221970558167,0.1638679951429367,-0.05833333730697632,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,010010,False,False,False,0.2697141766548157,0.9194444417953491,0.18234284222126007,-0.06111109256744385,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,010001,False,False,False,0.24598027765750885,0.9305555820465088,0.15860894322395325,-0.04999995231628418,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,001100,False,False,False,0.28042668104171753,0.9166666865348816,0.19305534660816193,-0.06388884782791138,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,001010,False,False,False,0.30761030316352844,0.9055555462837219,0.22023896872997284,-0.07499998807907104,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,001001,False,False,False,0.321759432554245,0.8777777552604675,0.2343880981206894,-0.10277777910232544,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,000110,False,False,False,0.3398393988609314,0.9083333611488342,0.2524680644273758,-0.07222217321395874,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,000101,False,False,False,0.3272861838340759,0.9055555462837219,0.23991484940052032,-0.07499998807907104,0.0873713344335556,0.980555534362793
constant_ild,2701,0.001,6,2,000011,False,False,False,0.4544923007488251,0.8305555582046509,0.36712096631526947,-0.1499999761581421,0.0873713344335556,0.980555534362793
