config,regime,seed,lr,steps,depth,validation_mse,test_mse,early_exit_depth4_test_mse,parameter_count,realized_active_sequence_blocks,expected_active_sequence_blocks,expected_budget_relative_to_dense6,executed_sequence_blocks,train_seconds
dense6,matched_steps,10,0.001,240,6,0.2547450363636017,0.24808578193187714,0.43624648451805115,3841,92160,92160.0,1.0,92160,0.09272179193794727
dense6,matched_steps,11,0.001,240,6,0.2617890238761902,0.2569733262062073,0.3145694434642792,3841,92160,92160.0,1.0,92160,0.07831520796753466
dense6,matched_steps,10,0.003,240,6,0.1692836582660675,0.16437256336212158,0.5895217061042786,3841,92160,92160.0,1.0,92160,0.07851837505586445
dense6,matched_steps,11,0.003,240,6,0.18841321766376495,0.18708443641662598,0.25451332330703735,3841,92160,92160.0,1.0,92160,0.08200520812533796
dense6,matched_steps,10,0.01,240,6,0.04520031064748764,0.039928190410137177,0.3532719612121582,3841,92160,92160.0,1.0,92160,0.08378058392554522
dense6,matched_steps,11,0.01,240,6,0.041232768446207047,0.038568902760744095,0.20684032142162323,3841,92160,92160.0,1.0,92160,0.08159770793281496
dense6,matched_steps,10,0.03,240,6,0.038226597011089325,0.03414025902748108,0.22349590063095093,3841,92160,92160.0,1.0,92160,0.0816013750154525
dense6,matched_steps,11,0.03,240,6,0.02335408516228199,0.02377169579267502,0.1924567073583603,3841,92160,92160.0,1.0,92160,0.08084520907141268
dense6,matched_steps,10,0.1,240,6,0.0360492579638958,0.03183138743042946,0.1631830930709839,3841,92160,92160.0,1.0,92160,0.0811026250012219
dense6,matched_steps,11,0.1,240,6,0.03531938046216965,0.030256198719143867,0.3933560252189636,3841,92160,92160.0,1.0,92160,0.0808979591820389
constant_ild,matched_steps,10,0.001,240,6,0.2706788182258606,0.2642197608947754,0.30760860443115234,3841,73810,73727.99999999967,0.7999999999999964,92160,0.09514391608536243
constant_ild,matched_steps,11,0.001,240,6,0.26973283290863037,0.26537513732910156,0.2775152027606964,3841,73662,73727.99999999967,0.7999999999999964,92160,0.09260208415798843
constant_ild,matched_steps,10,0.003,240,6,0.21427804231643677,0.20913325250148773,0.22963282465934753,3841,73810,73727.99999999967,0.7999999999999964,92160,0.09218366607092321
constant_ild,matched_steps,11,0.003,240,6,0.2182956337928772,0.21428488194942474,0.22798073291778564,3841,73662,73727.99999999967,0.7999999999999964,92160,0.09246304212138057
constant_ild,matched_steps,10,0.01,240,6,0.051718953996896744,0.047103151679039,0.06775102019309998,3841,73810,73727.99999999967,0.7999999999999964,92160,0.09803904197178781
constant_ild,matched_steps,11,0.01,240,6,0.04806198552250862,0.042638637125492096,0.07083553075790405,3841,73662,73727.99999999967,0.7999999999999964,92160,0.11216537514701486
constant_ild,matched_steps,10,0.03,240,6,0.02513318508863449,0.023212512955069542,0.028772404417395592,3841,73810,73727.99999999967,0.7999999999999964,92160,0.09448287496343255
constant_ild,matched_steps,11,0.03,240,6,0.03066680021584034,0.02604672499001026,0.03397667035460472,3841,73662,73727.99999999967,0.7999999999999964,92160,0.09472266701050103
constant_ild,matched_steps,10,0.1,240,6,0.047123104333877563,0.04355122894048691,0.04486650228500366,3841,73810,73727.99999999967,0.7999999999999964,92160,0.09239704092033207
constant_ild,matched_steps,11,0.1,240,6,0.041221074759960175,0.032214317470788956,0.03240218758583069,3841,73662,73727.99999999967,0.7999999999999964,92160,0.09089866699650884
decreasing_ild,matched_steps,10,0.001,240,6,0.2729525864124298,0.26531049609184265,0.29766419529914856,3841,73878,73727.99999999994,0.7999999999999994,92160,0.0941070830449462
decreasing_ild,matched_steps,11,0.001,240,6,0.27112478017807007,0.2661323547363281,0.2703443467617035,3841,73711,73727.99999999994,0.7999999999999994,92160,0.09354195790365338
decreasing_ild,matched_steps,10,0.003,240,6,0.2252292037010193,0.21987153589725494,0.2327590137720108,3841,73878,73727.99999999994,0.7999999999999994,92160,0.0938793329987675
decreasing_ild,matched_steps,11,0.003,240,6,0.23057237267494202,0.22471201419830322,0.23134733736515045,3841,73711,73727.99999999994,0.7999999999999994,92160,0.0940777501091361
decreasing_ild,matched_steps,10,0.01,240,6,0.05641515180468559,0.050523169338703156,0.0771256536245346,3841,73878,73727.99999999994,0.7999999999999994,92160,0.09195466595701873
decreasing_ild,matched_steps,11,0.01,240,6,0.055671874433755875,0.04905081167817116,0.08969523012638092,3841,73711,73727.99999999994,0.7999999999999994,92160,0.09235458401963115
decreasing_ild,matched_steps,10,0.03,240,6,0.02893846109509468,0.027465447783470154,0.0375208705663681,3841,73878,73727.99999999994,0.7999999999999994,92160,0.09586924989707768
decreasing_ild,matched_steps,11,0.03,240,6,0.0313970148563385,0.026404432952404022,0.03186336159706116,3841,73711,73727.99999999994,0.7999999999999994,92160,0.09794474998489022
decreasing_ild,matched_steps,10,0.1,240,6,0.041618674993515015,0.03479653596878052,0.03672979027032852,3841,73878,73727.99999999994,0.7999999999999994,92160,0.09614512510597706
decreasing_ild,matched_steps,11,0.1,240,6,0.046204183250665665,0.04172120243310928,0.0518246591091156,3841,73711,73727.99999999994,0.7999999999999994,92160,0.09612416685558856
increasing_ild,matched_steps,10,0.001,240,6,0.2729363441467285,0.26876145601272583,0.31446486711502075,3841,73755,73728.00000000001,0.8000000000000002,92160,0.09963458310812712
increasing_ild,matched_steps,11,0.001,240,6,0.26948022842407227,0.2659117877483368,0.2846941351890564,3841,73800,73728.00000000001,0.8000000000000002,92160,0.09989583399146795
increasing_ild,matched_steps,10,0.003,240,6,0.20836535096168518,0.2030588984489441,0.2267311066389084,3841,73755,73728.00000000001,0.8000000000000002,92160,0.09419116587378085
increasing_ild,matched_steps,11,0.003,240,6,0.21014580130577087,0.20798608660697937,0.22514227032661438,3841,73800,73728.00000000001,0.8000000000000002,92160,0.0926407917868346
increasing_ild,matched_steps,10,0.01,240,6,0.05828819051384926,0.05192166566848755,0.06846322119235992,3841,73755,73728.00000000001,0.8000000000000002,92160,0.09206541581079364
increasing_ild,matched_steps,11,0.01,240,6,0.06448522210121155,0.0611158162355423,0.08482645452022552,3841,73800,73728.00000000001,0.8000000000000002,92160,0.09276008303277194
increasing_ild,matched_steps,10,0.03,240,6,0.049530304968357086,0.04397698864340782,0.04981748014688492,3841,73755,73728.00000000001,0.8000000000000002,92160,0.09278820781037211
increasing_ild,matched_steps,11,0.03,240,6,0.03584825247526169,0.035050876438617706,0.040480248630046844,3841,73800,73728.00000000001,0.8000000000000002,92160,0.09513500006869435
increasing_ild,matched_steps,10,0.1,240,6,0.05003952607512474,0.05076291412115097,0.049799010157585144,3841,73755,73728.00000000001,0.8000000000000002,92160,0.09405166702345014
increasing_ild,matched_steps,11,0.1,240,6,0.052902255207300186,0.04908439517021179,0.051731761544942856,3841,73800,73728.00000000001,0.8000000000000002,92160,0.09324837499298155
dense5,matched_steps,10,0.001,240,5,0.24882806837558746,0.24434559047222137,0.2736222743988037,3241,76800,76800.0,0.8333333333333334,76800,0.07445645797997713
dense5,matched_steps,11,0.001,240,5,0.2591803967952728,0.25815725326538086,0.28529584407806396,3241,76800,76800.0,0.8333333333333334,76800,0.07128841686062515
dense5,matched_steps,10,0.003,240,5,0.1398710310459137,0.13736358284950256,0.21789471805095673,3241,76800,76800.0,0.8333333333333334,76800,0.07154949987307191
dense5,matched_steps,11,0.003,240,5,0.188495472073555,0.1875770092010498,0.2190534472465515,3241,76800,76800.0,0.8333333333333334,76800,0.07596500008367002
dense5,matched_steps,10,0.01,240,5,0.04218525439500809,0.03916328772902489,0.3130391240119934,3241,76800,76800.0,0.8333333333333334,76800,0.07830670801922679
dense5,matched_steps,11,0.01,240,5,0.0383114367723465,0.03331553936004639,0.0765436440706253,3241,76800,76800.0,0.8333333333333334,76800,0.07321154093369842
dense5,matched_steps,10,0.03,240,5,0.022675810381770134,0.021092019975185394,0.28942838311195374,3241,76800,76800.0,0.8333333333333334,76800,0.0709069580771029
dense5,matched_steps,11,0.03,240,5,0.02110261097550392,0.018119458109140396,0.11495461314916611,3241,76800,76800.0,0.8333333333333334,76800,0.0694262080360204
dense5,matched_steps,10,0.1,240,5,0.08687660098075867,0.08399651944637299,3.382826805114746,3241,76800,76800.0,0.8333333333333334,76800,0.07047937507741153
dense5,matched_steps,11,0.1,240,5,0.04091520607471466,0.03641938045620918,0.1006552055478096,3241,76800,76800.0,0.8333333333333334,76800,0.07105554197914898
dense6,matched_expected_active_budget,10,0.001,240,6,0.2547450363636017,0.24808578193187714,0.43624648451805115,3841,92160,92160.0,1.0,92160,0.07984229200519621
dense6,matched_expected_active_budget,11,0.001,240,6,0.2617890238761902,0.2569733262062073,0.3145694434642792,3841,92160,92160.0,1.0,92160,0.0789367079269141
dense6,matched_expected_active_budget,10,0.003,240,6,0.1692836582660675,0.16437256336212158,0.5895217061042786,3841,92160,92160.0,1.0,92160,0.0789065829012543
dense6,matched_expected_active_budget,11,0.003,240,6,0.18841321766376495,0.18708443641662598,0.25451332330703735,3841,92160,92160.0,1.0,92160,0.07855175016447902
dense6,matched_expected_active_budget,10,0.01,240,6,0.04520031064748764,0.039928190410137177,0.3532719612121582,3841,92160,92160.0,1.0,92160,0.07926295790821314
dense6,matched_expected_active_budget,11,0.01,240,6,0.041232768446207047,0.038568902760744095,0.20684032142162323,3841,92160,92160.0,1.0,92160,0.07961608399637043
dense6,matched_expected_active_budget,10,0.03,240,6,0.038226597011089325,0.03414025902748108,0.22349590063095093,3841,92160,92160.0,1.0,92160,0.07926329108886421
dense6,matched_expected_active_budget,11,0.03,240,6,0.02335408516228199,0.02377169579267502,0.1924567073583603,3841,92160,92160.0,1.0,92160,0.07934212498366833
dense6,matched_expected_active_budget,10,0.1,240,6,0.0360492579638958,0.03183138743042946,0.1631830930709839,3841,92160,92160.0,1.0,92160,0.07951449998654425
dense6,matched_expected_active_budget,11,0.1,240,6,0.03531938046216965,0.030256198719143867,0.3933560252189636,3841,92160,92160.0,1.0,92160,0.07933458383195102
constant_ild,matched_expected_active_budget,10,0.001,300,6,0.26421934366226196,0.25851970911026,0.290166437625885,3841,92365,92159.99999999949,0.9999999999999944,115200,0.11609658296220005
constant_ild,matched_expected_active_budget,11,0.001,300,6,0.26358360052108765,0.2594570815563202,0.26824602484703064,3841,92000,92159.99999999949,0.9999999999999944,115200,0.11404583300463855
constant_ild,matched_expected_active_budget,10,0.003,300,6,0.17119303345680237,0.1664295494556427,0.19546231627464294,3841,92365,92159.99999999949,0.9999999999999944,115200,0.1150609168689698
constant_ild,matched_expected_active_budget,11,0.003,300,6,0.18897759914398193,0.19108614325523376,0.20860612392425537,3841,92000,92159.99999999949,0.9999999999999944,115200,0.11661329120397568
constant_ild,matched_expected_active_budget,10,0.01,300,6,0.03379236161708832,0.031523287296295166,0.04470251500606537,3841,92365,92159.99999999949,0.9999999999999944,115200,0.11726320814341307
constant_ild,matched_expected_active_budget,11,0.01,300,6,0.032302889972925186,0.029212484136223793,0.04721727594733238,3841,92000,92159.99999999949,0.9999999999999944,115200,0.11622804217040539
constant_ild,matched_expected_active_budget,10,0.03,300,6,0.015893569216132164,0.01443687453866005,0.019865091890096664,3841,92365,92159.99999999949,0.9999999999999944,115200,0.11672445898875594
constant_ild,matched_expected_active_budget,11,0.03,300,6,0.021435987204313278,0.017195651307702065,0.023113353177905083,3841,92000,92159.99999999949,0.9999999999999944,115200,0.11614745785482228
constant_ild,matched_expected_active_budget,10,0.1,300,6,0.034935709089040756,0.02950328029692173,0.03308876231312752,3841,92365,92159.99999999949,0.9999999999999944,115200,0.12477333401329815
constant_ild,matched_expected_active_budget,11,0.1,300,6,0.03069271892309189,0.023482440039515495,0.02428346499800682,3841,92000,92159.99999999949,0.9999999999999944,115200,0.14631641702726483
decreasing_ild,matched_expected_active_budget,10,0.001,300,6,0.26749253273010254,0.26091375946998596,0.28322839736938477,3841,92291,92160.0,1.0,115200,0.12109000002965331
decreasing_ild,matched_expected_active_budget,11,0.001,300,6,0.2658822536468506,0.2611106038093567,0.2642122507095337,3841,92146,92160.0,1.0,115200,0.118078958010301
decreasing_ild,matched_expected_active_budget,10,0.003,300,6,0.19101762771606445,0.18648941814899445,0.20523804426193237,3841,92291,92160.0,1.0,115200,0.11898575001396239
decreasing_ild,matched_expected_active_budget,11,0.003,300,6,0.20319510996341705,0.20223329961299896,0.21648824214935303,3841,92146,92160.0,1.0,115200,0.12028637481853366
decreasing_ild,matched_expected_active_budget,10,0.01,300,6,0.03528096526861191,0.032193705439567566,0.050183262676000595,3841,92291,92160.0,1.0,115200,0.12699104100465775
decreasing_ild,matched_expected_active_budget,11,0.01,300,6,0.03433813154697418,0.030617933720350266,0.05790302902460098,3841,92146,92160.0,1.0,115200,0.12347408384084702
decreasing_ild,matched_expected_active_budget,10,0.03,300,6,0.01744956523180008,0.015654899179935455,0.022642862051725388,3841,92291,92160.0,1.0,115200,0.12112262495793402
decreasing_ild,matched_expected_active_budget,11,0.03,300,6,0.019748736172914505,0.017076045274734497,0.022569822147488594,3841,92146,92160.0,1.0,115200,0.12502166698686779
decreasing_ild,matched_expected_active_budget,10,0.1,300,6,0.03505631908774376,0.028457824140787125,0.028950707986950874,3841,92291,92160.0,1.0,115200,0.1175930411554873
decreasing_ild,matched_expected_active_budget,11,0.1,300,6,0.035008497536182404,0.030671745538711548,0.038062307983636856,3841,92146,92160.0,1.0,115200,0.12880062498152256
increasing_ild,matched_expected_active_budget,10,0.001,300,6,0.2652721405029297,0.26173171401023865,0.2936364412307739,3841,92226,92160.0,1.0,115200,0.12127458304166794
increasing_ild,matched_expected_active_budget,11,0.001,300,6,0.2618458867073059,0.25864872336387634,0.2727028727531433,3841,92108,92160.0,1.0,115200,0.11510420916602015
increasing_ild,matched_expected_active_budget,10,0.003,300,6,0.16978970170021057,0.1642564833164215,0.19489838182926178,3841,92226,92160.0,1.0,115200,0.11400529206730425
