shape,batch,sequence,width,depth,phase,mode,mask_granularity,repetition,ms_per_execution,nominal_active_fraction,executed_block_matmul_fraction
small,8,16,32,6,forward_backward,full_mask,sequence,5,0.424033875,0.5,1
small,8,16,32,6,forward_backward,full_mask,batch,5,0.424013,0.5,1
small,8,16,32,6,forward_backward,gather,sequence,5,0.380278625,0.5,0.5
small,8,16,32,6,forward_backward,gather,batch,5,0.25468225,0.5,0.5
small,8,16,32,6,forward_backward,dense,none,6,0.380184875,1,1
small,8,16,32,6,forward_backward,full_mask,batch,6,0.4133046875,0.5,1
small,8,16,32,6,forward_backward,batch_skip,batch,6,0.224125,0.5,0.5
small,8,16,32,6,forward_backward,full_mask,sequence,6,0.4269895625,0.5,1
small,8,16,32,6,forward_backward,gather,sequence,6,0.3849609375,0.5,0.5
small,8,16,32,6,forward_backward,gather,batch,6,0.2520286875,0.5,0.5
small,8,16,32,6,forward_backward,dense,none,7,0.372138,1,1
small,8,16,32,6,forward_backward,gather,sequence,7,0.3804895625,0.5,0.5
small,8,16,32,6,forward_backward,full_mask,sequence,7,0.4276484375,0.5,1
small,8,16,32,6,forward_backward,gather,batch,7,0.2549609375,0.5,0.5
small,8,16,32,6,forward_backward,batch_skip,batch,7,0.217828125,0.5,0.5
small,8,16,32,6,forward_backward,full_mask,batch,7,0.4187995,0.5,1
small,8,16,32,6,forward_backward,gather,sequence,8,0.3747760625,0.5,0.5
small,8,16,32,6,forward_backward,batch_skip,batch,8,0.220234375,0.5,0.5
small,8,16,32,6,forward_backward,dense,none,8,0.3580729375,1,1
small,8,16,32,6,forward_backward,gather,batch,8,0.2499426875,0.5,0.5
small,8,16,32,6,forward_backward,full_mask,batch,8,0.4215234375,0.5,1
small,8,16,32,6,forward_backward,full_mask,sequence,8,0.4310078125,0.5,1
medium,32,32,64,6,forward,full_mask,batch,0,0.9570625,0.5,1
medium,32,32,64,6,forward,full_mask,sequence,0,0.9677995,0.5,1
medium,32,32,64,6,forward,dense,none,0,0.8926328125,1,1
medium,32,32,64,6,forward,batch_skip,batch,0,0.4802760625,0.5,0.5
medium,32,32,64,6,forward,gather,batch,0,0.4974296875,0.5,0.5
medium,32,32,64,6,forward,gather,sequence,0,0.5838125,0.5,0.5
medium,32,32,64,6,forward,dense,none,1,0.893309875,1,1
medium,32,32,64,6,forward,full_mask,batch,1,0.96316925,0.5,1
medium,32,32,64,6,forward,gather,batch,1,0.5045,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,1,0.9728698125,0.5,1
medium,32,32,64,6,forward,batch_skip,batch,1,0.4699166875,0.5,0.5
medium,32,32,64,6,forward,gather,sequence,1,0.589862,0.5,0.5
medium,32,32,64,6,forward,batch_skip,batch,2,0.471403625,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,2,0.9651614375,0.5,1
medium,32,32,64,6,forward,gather,batch,2,0.5025755625,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,2,0.966997375,0.5,1
medium,32,32,64,6,forward,gather,sequence,2,0.568591125,0.5,0.5
medium,32,32,64,6,forward,dense,none,2,0.892796875,1,1
medium,32,32,64,6,forward,gather,batch,3,0.513796875,0.5,0.5
medium,32,32,64,6,forward,dense,none,3,0.89271875,1,1
medium,32,32,64,6,forward,batch_skip,batch,3,0.4712838125,0.5,0.5
medium,32,32,64,6,forward,gather,sequence,3,0.58215625,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,3,0.970283875,0.5,1
medium,32,32,64,6,forward,full_mask,batch,3,0.9665208125,0.5,1
medium,32,32,64,6,forward,gather,batch,4,0.5152265625,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,4,0.9641301875,0.5,1
medium,32,32,64,6,forward,dense,none,4,0.8906979375,1,1
medium,32,32,64,6,forward,batch_skip,batch,4,0.4651458125,0.5,0.5
medium,32,32,64,6,forward,gather,sequence,4,0.5843333125,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,4,0.977625,0.5,1
medium,32,32,64,6,forward,gather,batch,5,0.5006171875,0.5,0.5
medium,32,32,64,6,forward,batch_skip,batch,5,0.4968150625,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,5,0.9931796875,0.5,1
medium,32,32,64,6,forward,full_mask,sequence,5,0.97154425,0.5,1
medium,32,32,64,6,forward,dense,none,5,0.8851953125,1,1
medium,32,32,64,6,forward,gather,sequence,5,0.5920625,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,6,0.963677125,0.5,1
medium,32,32,64,6,forward,gather,batch,6,0.5044869375,0.5,0.5
medium,32,32,64,6,forward,gather,sequence,6,0.583877625,0.5,0.5
medium,32,32,64,6,forward,dense,none,6,0.8857681875,1,1
medium,32,32,64,6,forward,batch_skip,batch,6,0.4705546875,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,6,0.966658875,0.5,1
medium,32,32,64,6,forward,gather,sequence,7,0.580362,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,7,0.969802125,0.5,1
medium,32,32,64,6,forward,gather,batch,7,0.499265625,0.5,0.5
medium,32,32,64,6,forward,dense,none,7,0.887127625,1,1
medium,32,32,64,6,forward,batch_skip,batch,7,0.4704765625,0.5,0.5
medium,32,32,64,6,forward,full_mask,sequence,7,0.96909375,0.5,1
medium,32,32,64,6,forward,full_mask,sequence,8,0.95715625,0.5,1
medium,32,32,64,6,forward,gather,sequence,8,0.590041625,0.5,0.5
medium,32,32,64,6,forward,full_mask,batch,8,0.9556614375,0.5,1
medium,32,32,64,6,forward,batch_skip,batch,8,0.4600885,0.5,0.5
medium,32,32,64,6,forward,gather,batch,8,0.499533875,0.5,0.5
medium,32,32,64,6,forward,dense,none,8,0.877724,1,1
medium,32,32,64,6,forward_backward,full_mask,sequence,0,2.717265625,0.5,1
medium,32,32,64,6,forward_backward,dense,none,0,2.6889323125,1,1
medium,32,32,64,6,forward_backward,gather,sequence,0,1.6734166875,0.5,0.5
medium,32,32,64,6,forward_backward,gather,batch,0,1.3979296875,0.5,0.5
medium,32,32,64,6,forward_backward,batch_skip,batch,0,1.327752625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,0,2.7365078125,0.5,1
medium,32,32,64,6,forward_backward,gather,sequence,1,1.6455390625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,1,2.7343880625,0.5,1
medium,32,32,64,6,forward_backward,gather,batch,1,1.399609375,0.5,0.5
medium,32,32,64,6,forward_backward,batch_skip,batch,1,1.33689325,0.5,0.5
medium,32,32,64,6,forward_backward,dense,none,1,2.51893225,1,1
medium,32,32,64,6,forward_backward,full_mask,sequence,1,2.7582369375,0.5,1
medium,32,32,64,6,forward_backward,dense,none,2,2.543099,1,1
medium,32,32,64,6,forward_backward,gather,batch,2,1.3985416875,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,2,2.69913025,0.5,1
medium,32,32,64,6,forward_backward,gather,sequence,2,1.6903046875,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,sequence,2,2.7203828125,0.5,1
medium,32,32,64,6,forward_backward,batch_skip,batch,2,1.3219270625,0.5,0.5
medium,32,32,64,6,forward_backward,dense,none,3,2.5230364375,1,1
medium,32,32,64,6,forward_backward,batch_skip,batch,3,1.31396875,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,3,2.6838698125,0.5,1
medium,32,32,64,6,forward_backward,gather,batch,3,1.38154425,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,sequence,3,2.6793046875,0.5,1
medium,32,32,64,6,forward_backward,gather,sequence,3,1.62895575,0.5,0.5
medium,32,32,64,6,forward_backward,batch_skip,batch,4,1.3111041875,0.5,0.5
medium,32,32,64,6,forward_backward,gather,sequence,4,1.6365390625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,4,2.683770875,0.5,1
medium,32,32,64,6,forward_backward,dense,none,4,2.524791625,1,1
medium,32,32,64,6,forward_backward,gather,batch,4,1.389778625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,sequence,4,2.6778489375,0.5,1
medium,32,32,64,6,forward_backward,batch_skip,batch,5,1.31053125,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,sequence,5,2.6860546875,0.5,1
medium,32,32,64,6,forward_backward,gather,batch,5,1.3836979375,0.5,0.5
medium,32,32,64,6,forward_backward,dense,none,5,2.5259140625,1,1
medium,32,32,64,6,forward_backward,full_mask,batch,5,2.6784921875,0.5,1
medium,32,32,64,6,forward_backward,gather,sequence,5,1.62659375,0.5,0.5
medium,32,32,64,6,forward_backward,batch_skip,batch,6,1.3153229375,0.5,0.5
medium,32,32,64,6,forward_backward,dense,none,6,2.55191925,1,1
medium,32,32,64,6,forward_backward,full_mask,sequence,6,2.7560078125,0.5,1
medium,32,32,64,6,forward_backward,gather,batch,6,1.4252083125,0.5,0.5
medium,32,32,64,6,forward_backward,gather,sequence,6,1.6622890625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,6,2.7535260625,0.5,1
medium,32,32,64,6,forward_backward,full_mask,sequence,7,2.741078125,0.5,1
medium,32,32,64,6,forward_backward,gather,batch,7,1.438776,0.5,0.5
medium,32,32,64,6,forward_backward,batch_skip,batch,7,1.342526,0.5,0.5
medium,32,32,64,6,forward_backward,gather,sequence,7,1.6444270625,0.5,0.5
medium,32,32,64,6,forward_backward,dense,none,7,2.62741925,1,1
medium,32,32,64,6,forward_backward,full_mask,batch,7,2.779578125,0.5,1
medium,32,32,64,6,forward_backward,dense,none,8,2.607966125,1,1
medium,32,32,64,6,forward_backward,gather,sequence,8,1.6874609375,0.5,0.5
medium,32,32,64,6,forward_backward,gather,batch,8,1.4162135625,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,batch,8,2.88890625,0.5,1
medium,32,32,64,6,forward_backward,batch_skip,batch,8,1.35028125,0.5,0.5
medium,32,32,64,6,forward_backward,full_mask,sequence,8,2.765510375,0.5,1
