task,recipe,mask,metric,seed,value
vit_cifar100,constant_ild,full,accuracy,2002,0.49619999527931213
vit_cifar100,constant_ild,primary_two_thirds,ce,2000,2.2211500619888307
vit_cifar100,constant_ild,primary_two_thirds,ce,2001,2.1031770935058596
vit_cifar100,constant_ild,primary_two_thirds,ce,2002,2.1410737464904788
vit_cifar100,constant_ild,primary_two_thirds,accuracy,2000,0.49939998984336853
vit_cifar100,constant_ild,primary_two_thirds,accuracy,2001,0.513700008392334
vit_cifar100,constant_ild,primary_two_thirds,accuracy,2002,0.50409996509552
vit_cifar100,decreasing_ild,full,ce,2000,2.5226513256073
vit_cifar100,decreasing_ild,full,ce,2001,2.5696536399841308
vit_cifar100,decreasing_ild,full,ce,2002,2.5917587135314943
vit_cifar100,decreasing_ild,full,accuracy,2000,0.4846999943256378
vit_cifar100,decreasing_ild,full,accuracy,2001,0.48479998111724854
vit_cifar100,decreasing_ild,full,accuracy,2002,0.48259997367858887
vit_cifar100,decreasing_ild,primary_two_thirds,ce,2000,2.1854263668060305
vit_cifar100,decreasing_ild,primary_two_thirds,ce,2001,2.217040085601807
vit_cifar100,decreasing_ild,primary_two_thirds,ce,2002,2.224086634063721
vit_cifar100,decreasing_ild,primary_two_thirds,accuracy,2000,0.48669999837875366
vit_cifar100,decreasing_ild,primary_two_thirds,accuracy,2001,0.4876999855041504
vit_cifar100,decreasing_ild,primary_two_thirds,accuracy,2002,0.4887999892234802
