treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
dense6,2703,4,all_masks,15,0.2444537768761317,0.940925931930542,0.16013425240914028,-0.04240741729736328
dense6,2703,4,keeps_first,10,0.21860596388578415,0.9508333384990693,0.13428643941879273,-0.03250001072883606
dense6,2703,4,drops_first,5,0.2961494028568268,0.9211111187934875,0.21182987838983536,-0.06222223043441773
dense6,2703,5,prefix,1,0.10611140727996826,0.980555534362793,0.021791882812976837,-0.0027778148651123047
dense6,2703,5,all_masks,6,0.14697514350215593,0.9662036995093027,0.06265561903516452,-0.017129649718602497
dense6,2703,5,keeps_first,5,0.13325340896844864,0.9716666579246521,0.04893388450145721,-0.011666691303253174
dense6,2703,5,drops_first,1,0.21558381617069244,0.9388889074325562,0.13126429170370102,-0.04444444179534912
dense6,2703,6,prefix,1,0.08431952446699142,0.9833333492279053,0.0,0.0
dense6,2703,6,all_masks,1,0.08431952446699142,0.9833333492279053,0.0,0.0
dense6,2703,6,keeps_first,1,0.08431952446699142,0.9833333492279053,0.0,0.0
dense6,2704,1,prefix,1,0.9420517086982727,0.7861111164093018,0.8669469356536865,-0.19722223281860352
dense6,2704,1,all_masks,6,0.9225667317708334,0.782870372136434,0.8474619587262472,-0.20046297709147134
dense6,2704,1,keeps_first,1,0.9420517086982727,0.7861111164093018,0.8669469356536865,-0.19722223281860352
dense6,2704,1,drops_first,5,0.9186697363853454,0.7822222232818603,0.8435649633407593,-0.2011111259460449
dense6,2704,2,prefix,1,0.569873034954071,0.9027777910232544,0.49476826190948486,-0.08055555820465088
dense6,2704,2,all_masks,15,0.5773845891157786,0.8674074093500773,0.5022798160711924,-0.11592593987782797
dense6,2704,2,keeps_first,5,0.5415806651115418,0.8911111116409302,0.46647589206695556,-0.09222223758697509
dense6,2704,2,drops_first,10,0.5952865511178971,0.8555555582046509,0.5201817780733109,-0.1277777910232544
dense6,2704,3,prefix,1,0.28596827387809753,0.9583333134651184,0.21086350083351135,-0.025000035762786865
dense6,2704,3,all_masks,20,0.3610888198018074,0.909583330154419,0.2859840467572212,-0.07375001907348633
dense6,2704,3,keeps_first,10,0.30800789296627046,0.9283333241939544,0.23290311992168428,-0.05500002503395081
dense6,2704,3,drops_first,10,0.41416974663734435,0.8908333361148835,0.33906497359275817,-0.09250001311302185
dense6,2704,3,alternating,2,0.3580005019903183,0.9194444417953491,0.2828957289457321,-0.06388890743255615
dense6,2704,4,prefix,1,0.13596835732460022,0.9777777791023254,0.06086358428001404,-0.005555570125579834
dense6,2704,4,all_masks,15,0.22177931467692058,0.9442592620849609,0.1466745416323344,-0.03907408714294434
dense6,2704,4,keeps_first,10,0.178822623193264,0.9561111211776734,0.10371785014867782,-0.027222228050231934
