phase,treatment,seed,lr,depth,steps,batch,parameter_count,validation_ce,validation_accuracy,train_seconds,batch_indices_sha256,expected_active_example_blocks,realized_active_example_blocks,executed_example_blocks,last_minibatch_ce
tuning,decreasing_ild,1701,0.001,6,600,128,105162,0.17639167606830597,0.961002767086029,0.7828054169658571,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.0020302145276218653
tuning,decreasing_ild,1702,0.001,6,600,128,105162,0.16522358357906342,0.9526462554931641,0.7489143339917064,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.002004903508350253
tuning,decreasing_ild,1701,0.003,6,600,128,105162,0.25431472063064575,0.9498607516288757,0.7470128329005092,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.0003770917537622154
tuning,decreasing_ild,1702,0.003,6,600,128,105162,0.23310087621212006,0.9526462554931641,0.7475468751508743,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.00033323458046652377
tuning,decreasing_ild,1701,0.01,6,600,128,105162,0.2921851575374603,0.9582172632217407,0.75174391688779,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,368639.99999999994,368549,460800,0.00010112742893397808
tuning,decreasing_ild,1702,0.01,6,600,128,105162,0.2237318903207779,0.9721448421478271,0.752096249954775,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,368639.99999999994,368809,460800,0.00010565638513071463
tuning,dense3,1701,0.0001,3,600,128,55050,0.2583465576171875,0.941504180431366,0.4025595828425139,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.14032649993896484
tuning,dense3,1702,0.0001,3,600,128,55050,0.2634231746196747,0.941504180431366,0.39912433293648064,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.12026536464691162
tuning,dense3,1701,0.0003,3,600,128,55050,0.15944688022136688,0.9582172632217407,0.4013092089444399,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.02048981934785843
tuning,dense3,1702,0.0003,3,600,128,55050,0.17193685472011566,0.9442896842956543,0.3946600421331823,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.0167190283536911
tuning,dense3,1701,0.001,3,600,128,55050,0.1714448183774948,0.9637883305549622,0.43114845803938806,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.002413760405033827
tuning,dense3,1702,0.001,3,600,128,55050,0.18434976041316986,0.9498607516288757,0.4697481670882553,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.002337756799533963
tuning,dense3,1701,0.003,3,600,128,55050,0.21702584624290466,0.9498607516288757,0.5074081670027226,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.0004675558302551508
tuning,dense3,1702,0.003,3,600,128,55050,0.2239801585674286,0.9526462554931641,0.4887889160308987,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.0004302547313272953
tuning,dense3,1701,0.01,3,600,128,55050,0.3514920473098755,0.9303621053695679,0.4950796249322593,8f7d6cb538b882aef0b5c69f11a620d930ec7b9bf055d4119fd9665b167499ec,230400.0,230400,230400,0.00017093819042202085
tuning,dense3,1702,0.01,3,600,128,55050,0.2320648729801178,0.9442896842956543,0.4851131250616163,aae6988e51021ba793357319e4ee6fd9a989f7ab131c4568365b1b0ee1f5eda1,230400.0,230400,230400,0.00011731476115528494
