treatment,seed,lr,model_depth,retained_depth,mask,is_prefix,keeps_first,is_alternating,ce,accuracy,excess_ce,accuracy_change,full_ce,full_accuracy
dense6,2701,0.0003,6,1,100000,True,True,False,1.3236876726150513,0.6583333611488342,1.239659145474434,-0.32499998807907104,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,1,010000,False,False,False,1.2310346364974976,0.6722221970558167,1.1470061093568802,-0.3111111521720886,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,1,001000,False,False,False,1.3272286653518677,0.605555534362793,1.2432001382112503,-0.3777778148651123,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,1,000100,False,False,False,1.1340745687484741,0.6972222328186035,1.0500460416078568,-0.28611111640930176,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,1,000010,False,False,False,1.2182146310806274,0.6000000238418579,1.13418610394001,-0.38333332538604736,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,1,000001,False,False,False,1.3323235511779785,0.6027777791023254,1.2482950240373611,-0.38055557012557983,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,110000,True,True,False,0.7026129364967346,0.9055555462837219,0.6185844093561172,-0.07777780294418335,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,101000,False,True,False,0.7260450720787048,0.855555534362793,0.6420165449380875,-0.1277778148651123,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,100100,False,True,False,0.6227626800537109,0.9055555462837219,0.5387341529130936,-0.07777780294418335,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,100010,False,True,False,0.6423120498657227,0.8638888597488403,0.5582835227251053,-0.11944448947906494,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,100001,False,True,False,0.6967526078224182,0.8583333492279053,0.6127240806818008,-0.125,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,011000,False,False,False,0.7410330176353455,0.8166666626930237,0.6570044904947281,-0.1666666865348816,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,010100,False,False,False,0.6299982070922852,0.8777777552604675,0.5459696799516678,-0.10555559396743774,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,010010,False,False,False,0.64180588722229,0.8500000238418579,0.5577773600816727,-0.13333332538604736,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,010001,False,False,False,0.6517943143844604,0.8444444537162781,0.5677657872438431,-0.1388888955116272,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,001100,False,False,False,0.7647340297698975,0.7722222208976746,0.6807055026292801,-0.2111111283302307,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,001010,False,False,False,0.850249707698822,0.730555534362793,0.7662211805582047,-0.2527778148651123,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,001001,False,False,False,0.9208630323410034,0.7111111283302307,0.836834505200386,-0.27222222089767456,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,000110,False,False,False,0.7169991135597229,0.7833333611488342,0.6329705864191055,-0.19999998807907104,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,000101,False,False,False,0.7380327582359314,0.8055555820465088,0.654004231095314,-0.17777776718139648,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,2,000011,False,False,False,0.8796205520629883,0.7055555582046509,0.7955920249223709,-0.2777777910232544,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,111000,True,True,False,0.33479002118110657,0.9583333134651184,0.2507614940404892,-0.025000035762786865,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,110100,False,True,False,0.3145560026168823,0.949999988079071,0.23052747547626495,-0.03333336114883423,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,110010,False,True,False,0.29005664587020874,0.9361110925674438,0.20602811872959137,-0.047222256660461426,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,110001,False,True,False,0.29487431049346924,0.9527778029441833,0.21084578335285187,-0.030555546283721924,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,101100,False,True,False,0.3220566213130951,0.9472222328186035,0.23802809417247772,-0.03611111640930176,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,101010,False,True,True,0.34317290782928467,0.9166666865348816,0.2591443806886673,-0.06666666269302368,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,101001,False,True,False,0.42515721917152405,0.8861111402511597,0.3411286920309067,-0.0972222089767456,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,100110,False,True,False,0.31819963455200195,0.9361110925674438,0.23417110741138458,-0.047222256660461426,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,100101,False,True,False,0.32019558548927307,0.9333333373069763,0.2361670583486557,-0.050000011920928955,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,100011,False,True,False,0.39213353395462036,0.8722222447395325,0.308105006814003,-0.1111111044883728,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,011100,False,False,False,0.3918594419956207,0.9027777910232544,0.30783091485500336,-0.08055555820465088,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,011010,False,False,False,0.3896394968032837,0.9083333611488342,0.3056109696626663,-0.07499998807907104,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,011001,False,False,False,0.3932237923145294,0.9055555462837219,0.30919526517391205,-0.07777780294418335,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,010110,False,False,False,0.4059341549873352,0.894444465637207,0.32190562784671783,-0.08888888359069824,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,010101,False,False,True,0.407746285200119,0.894444465637207,0.32371775805950165,-0.08888888359069824,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,010011,False,False,False,0.40139660239219666,0.8999999761581421,0.3173680752515793,-0.08333337306976318,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,001110,False,False,False,0.55611252784729,0.824999988079071,0.47208400070667267,-0.15833336114883423,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,001101,False,False,False,0.5511788129806519,0.8166666626930237,0.4671502858400345,-0.1666666865348816,0.08402852714061737,0.9833333492279053
dense6,2701,0.0003,6,3,001011,False,False,False,0.704376220703125,0.7333333492279053,0.6203476935625076,-0.25,0.08402852714061737,0.9833333492279053
